female,male,site,block,height,volume,rust,stemform
496,0,101,18,27,1.0589199066,0,4
496,0,101,3,26,1.1127386093,0,2
496,0,101,19,23.5,1.1403436661,0,2
496,0,101,1,21,1.279624939,0,3
496,0,101,8,23,0.9070372581,0,4
496,0,101,15,24,1.30651474,0,3
496,0,101,9,20.5,0.9218745232,0,6
496,0,101,7,27.5,1.4921321869,0,2
496,0,101,10,18.5,0.3388588428,0,5
504,0,101,5,28,1.5763111115,0,1
504,0,101,18,24,1.0735120773,0,3
504,0,101,13,26,1.4125814438,0,1
504,0,101,6,26.5,0.5997114182,0,2
504,0,101,19,25.5,1.5466070175,0,4
504,0,101,14,28.5,1.6636676788,0,4
504,0,101,2,26.5,1.2816162109,0,3
504,0,101,20,23.5,1.2325248718,0,5
504,0,101,12,27,1.7542209625,0,4
504,0,101,10,23,1.0301876068,0,3
504,0,101,11,21,0.6284542084,0,4
504,0,101,3,23.5,1.2325248718,0,3
504,0,101,8,28,1.1957406998,0,4
504,0,101,7,24.5,1.5949144363,0,5
504,0,101,17,27.5,1.3287067413,0,4
504,0,101,9,27,1.5212182999,0,4
504,0,101,1,22.5,0.8121495247,0,2
504,0,101,15,21,0.538254261,0,3
504,0,101,4,23,1.1614570618,0,5
504,0,101,16,26.5,1.2816162109,0,3
185,0,101,7,23,0.7198314667,0,4
185,0,101,13,25.5,1.2345256805,0,4
185,0,101,18,26,1.3085546494,0,4
185,0,101,5,22.5,0.5742931366,0,3
185,0,101,10,22.5,1.050447464,0,4
185,0,101,17,24.5,1.2350053787,0,3
185,0,101,3,27.5,1.7860822678,0,3
185,0,101,11,20.5,0.6142935753,0,6
185,0,101,20,18,0.4661765099,0,5
