Year,Progeny,female,male,cross,r,DTA,PltHt
2014,2031,164_14,166_9,164_14x166_9,1,80,265
2014,2032,164_1,166_9,164_1x166_9,1,78,235
2014,2034,164_11,167_1,164_11x167_1,1,83,240
2014,2035,166_12,164_2,164_2x166_12,-1,83,245
2014,2038,170_11,170_2,170_11x170_2,1,84,NA
2014,2046,171_8,168_2,168_2x171_8,-1,87,250
2014,2047,171_10,164_8,164_8x171_10,-1,79,245
2014,2048,170_4,171_5,170_4x171_5,1,92,180
2014,2049,164_4,167_3,164_4x167_3,1,80,265
2014,2050,164_4,166_11,164_4x166_11,1,81,240
2014,2053,171_11,167_6,167_6x171_11,-1,79,270
2014,2055,166_9,164_1,164_1x166_9,-1,78,265
2014,2057,164_11,165_10,164_11x165_10,1,79,245
2014,2059,171_6,165_10,165_10x171_6,-1,87,215
2014,2060,164_14,164_1,164_1x164_14,-1,80,250
2014,2061,164_2,165_6,164_2x165_6,1,83,235
2014,2063,168_5,171_7,168_5x171_7,1,NA,NA
2014,2066,168_5,171_7,168_5x171_7,1,80,245
2014,2067,166_9,164_1,164_1x166_9,-1,74,220
2014,2071,167_5,164_14,164_14x167_5,-1,81,270
2014,2072,171_10,164_8,164_8x171_10,-1,74,220
2014,2073,171_6,167_1,167_1x171_6,-1,79,250
2014,2074,171_5,170_7,170_7x171_5,-1,81,255
2014,2076,171_4,171_7,171_4x171_7,1,87,255
2014,2077,170_11,170_2,170_11x170_2,1,88,235
2014,2079,171_8,168_2,168_2x171_8,-1,78,240
2014,2080,167_5,164_1,164_1x167_5,-1,80,225
2014,2081,171_6,167_1,167_1x171_6,-1,81,220
2014,2083,167_5,164_1,164_1x167_5,-1,75,270
2014,2084,170_11,170_2,170_11x170_2,1,91,190
2014,2085,171_6,167_1,167_1x171_6,-1,75,215
2014,2086,164_11,165_10,164_11x165_10,1,74,245
2014,2087,171_10,167_8,167_8x171_10,-1,75,280
2014,2088,165_6,166_12,165_6x166_12,1,73,230
2014,2089,169_11,171_5,169_11x171_5,1,NA,115
2014,2091,171_4,171_7,171_4x171_7,1,82,245
2014,2093,170_1,171_11,170_1x171_11,1,81,275
2014,2094,166_9,164_1,164_1x166_9,-1,76,245
2014,2101,164_2,166_3,164_2x166_3,1,70,200
2014,2103,171_8,168_2,168_2x171_8,-1,76,205
2014,2104,170_6,170_11,170_11x170_6,-1,83,260
2014,2106,166_3,164_2,164_2x166_3,-1,79,220
2014,2107,170_4,171_5,170_4x171_5,1,68,205
2014,2108,171_6,165_10,165_10x171_6,-1,76,235
2014,2109,171_4,171_7,171_4x171_7,1,76,225
2014,2112,171_4,168_5,168_5x171_4,-1,78,225
2014,2114,164_4,166_11,164_4x166_11,1,82,245
2014,2115,171_6,170_13,170_13x171_6,-1,68,220
2014,2116,170_1,167_6,167_6x170_1,-1,75,230
2014,2117,169_11,171_13,169_11x171_13,1,76,NA
2014,2118,171_11,170_1,170_1x171_11,-1,80,240
2014,2120,166_10,166_8,166_10x166_8,1,NA,200
2014,2123,164_14,164_1,164_1x164_14,-1,82,245
2014,2126,171_8,168_2,168_2x171_8,-1,74,240
2014,2127,164_14,166_9,164_14x166_9,1,80,260
2014,2128,165_6,166_3,165_6x166_3,1,79,245
2014,2130,164_11,165_10,164_11x165_10,1,79,250
2014,2131,171_11,170_1,170_1x171_11,-1,78,265
2014,2133,170_7,171_13,170_7x171_13,1,71,245
2014,2135,171_8,167_12,167_12x171_8,-1,83,240
2014,2137,164_2,166_12,164_2x166_12,1,83,265
