treeid,female,male,prov,block,plot,height,diameter,volume
213.24,213,0,12,5,214,10.5,15.8,0.0786
213.25,213,0,12,2,95,12.1,19.2,0.1338
213.26,213,0,12,5,214,10.9,28.2,0.26
216.1,216,0,12,1,5,8.5,11.1,0.0314
216.2,216,0,12,1,5,13.4,18.9,0.1436
216.3,216,0,12,1,5,10.6,16.9,0.0908
216.4,216,0,12,1,5,8.8,13.7,0.0496
216.5,216,0,12,1,5,7.7,9,0.0187
216.6,216,0,12,1,5,11.8,24.4,0.2108
216.7,216,0,12,2,88,11.5,17.7,0.1081
216.8,216,0,12,2,88,12.1,19.7,0.1409
216.9,216,0,12,2,88,6.9,19.9,0.082
216.10,216,0,12,2,88,14.4,23.9,0.2468
216.11,216,0,12,3,104,10.8,21,0.1429
216.12,216,0,12,3,104,10.8,19.9,0.1283
216.13,216,0,12,3,104,10.8,15.1,0.0739
216.14,216,0,12,3,104,12.5,25.4,0.2419
216.15,216,0,12,4,182,11.3,22.3,0.1686
216.16,216,0,12,4,182,8.5,11.4,0.0331
216.17,216,0,12,4,182,9.3,13.3,0.0494
216.18,216,0,12,4,182,11.7,19.3,0.1307
216.19,216,0,12,4,182,9.4,17.4,0.0854
216.20,216,0,12,4,182,8.9,15,0.0601
216.21,216,0,12,5,217,11.6,14.7,0.0752
216.22,216,0,12,5,217,10,17.2,0.0888
216.23,216,0,12,5,217,10,19.9,0.1188
216.24,216,0,12,5,217,6.9,10.4,0.0224
216.25,216,0,12,2,88,11.9,22.8,0.1856
217.1,217,0,12,1,8,12.4,22.8,0.1934
217.2,217,0,12,1,8,12.7,23.3,0.2068
217.3,217,0,12,1,8,10.6,18.5,0.1088
217.4,217,0,12,1,8,12.3,20.8,0.1596
217.5,217,0,12,1,8,11.8,22.3,0.176
217.6,217,0,12,2,91,14.2,19.9,0.1687
217.7,217,0,12,2,91,12.1,22.1,0.1773
217.8,217,0,12,2,91,13.8,19.1,0.151
217.9,217,0,12,2,91,11.3,22.7,0.1747
217.10,217,0,12,2,91,13.2,22,0.1917
217.11,217,0,12,2,91,11,23.6,0.1838
217.12,217,0,12,3,101,14.2,24.1,0.2474
217.13,217,0,12,3,101,12.5,27.3,0.2795
217.14,217,0,12,3,101,8.8,14.1,0.0525
217.15,217,0,12,3,101,11.2,21.5,0.1553
217.16,217,0,12,3,101,12.3,24.9,0.2288
217.17,217,0,12,3,101,12.7,24,0.2195
217.18,217,0,12,4,187,13,21.5,0.1803
217.19,217,0,12,4,187,9.5,17,0.0824
217.20,217,0,12,4,187,10.8,18,0.105
217.21,217,0,12,4,187,11.4,17.5,0.1047
217.22,217,0,12,4,187,10.8,18.4,0.1097
217.23,217,0,12,5,210,10.1,19.3,0.1129
217.24,217,0,12,5,210,11.7,23.3,0.1906
217.25,217,0,12,5,210,11,14.6,0.0703
218.1,218,0,12,1,12,12.5,22,0.1815
218.2,218,0,12,1,12,10.7,13.2,0.0559
218.3,218,0,12,1,12,11.3,16,0.0868
218.4,218,0,12,1,12,10.5,18.9,0.1125
218.5,218,0,12,1,12,11.4,22.2,0.1686
218.6,218,0,12,2,87,12.6,24,0.2177
218.7,218,0,12,2,87,11.7,18.5,0.1201
218.8,218,0,12,2,87,6.6,9.7,0.0186
218.9,218,0,12,2,87,10.8,17.7,0.1015
218.10,218,0,12,2,87,11.9,17.2,0.1056
218.11,218,0,12,2,87,10.4,19.3,0.1162
218.12,218,0,12,3,108,12.1,22.9,0.1904
218.13,218,0,12,3,108,10.2,18.5,0.1047
218.14,218,0,12,3,108,12.8,19.9,0.1521
218.15,218,0,12,3,108,9.3,17.7,0.0874
218.16,218,0,12,3,108,11,20.6,0.14
218.17,218,0,12,3,108,8.8,19.5,0.1004
218.18,218,0,12,4,183,12.4,18.2,0.1232
218.19,218,0,12,4,183,12.4,19.6,0.1429
218.20,218,0,12,4,183,12,21.9,0.1727
218.21,218,0,12,4,183,8.1,10.3,0.0258
218.22,218,0,12,4,183,9,15.1,0.0616
218.23,218,0,12,4,183,9.7,17.3,0.0871
218.24,218,0,12,5,209,9.8,16.5,0.08
218.25,218,0,12,5,209,10.3,19.8,0.1211
