tree,female,male,cross,site,rep,col,row,HT05,VOL05
123,16,21,N,1,8,11,43,85.3,83.4
30,7,24,A,1,8,11,44,84.3,77.8
67,6,7,L,1,8,11,45,91.9,75
101,16,21,N,1,8,11,46,92.4,57.4
filler,0,0,,1,8,11,47,,
filler,0,0,,1,8,11,48,,
35,20,23,J,1,1,12,1,92.4,80.2
141,17,9,P,1,1,12,2,84.8,78.2
filler,0,0,,1,1,12,3,,
108,16,21,N,1,1,12,4,97.6,84.7
130,0,0,NP,1,1,12,5,47.1,-12.3
filler,0,0,,1,1,12,6,,
filler,0,0,,1,2,12,7,,
131,0,0,NP,1,2,12,8,89.5,59.7
64,6,7,L,1,2,12,9,105.1,119.4
filler,0,0,,1,2,12,10,,
33,8,9,H,1,2,12,11,78.7,9.4
filler,0,0,,1,2,12,12,,
145,24,1,Q,1,3,12,13,121.6,137.1
47,23,13,K,1,3,12,14,104.6,96.2
filler,0,0,,1,3,12,15,,
119,16,21,N,1,3,12,16,108.4,148.3
113,16,21,N,1,3,12,17,116.4,158.3
74,6,7,L,1,3,12,18,110.3,124.9
153,24,1,Q,1,4,12,19,122.1,165.4
121,16,21,N,1,4,12,20,76.8,36
filler,0,0,,1,4,12,21,,
filler,0,0,,1,4,12,22,,
66,6,7,L,1,4,12,23,117.8,139.6
152,24,1,Q,1,4,12,24,79.1,30.5
140,15,6,O,1,5,12,25,142.4,252
filler,0,0,,1,5,12,26,,
122,16,21,N,1,5,12,27,124.9,154.5
70,6,7,L,1,5,12,28,82,28.6
50,6,7,L,1,5,12,29,97.1,65.1
160,17,15,R,1,5,12,30,84.8,69.2
91,16,21,N,1,6,12,31,95.7,114.9
147,24,1,Q,1,6,12,32,107.9,116.4
85,16,21,N,1,6,12,33,101.3,98.5
114,16,21,N,1,6,12,34,79.6,34.1
87,16,21,N,1,6,12,35,102.7,69.1
153,24,1,Q,1,6,12,36,105.6,157.9
87,16,21,N,1,7,12,37,99,80.8
filler,0,0,,1,7,12,38,,
28,7,24,A,1,7,12,39,103.7,95.3
63,6,7,L,1,7,12,40,94.7,72.6
92,16,21,N,1,7,12,41,100.9,103.6
159,17,15,R,1,7,12,42,111.7,145.7
78,6,7,L,1,8,12,43,83.9,59.8
55,6,7,L,1,8,12,44,88.1,81.2
filler,0,0,,1,8,12,45,,
117,16,21,N,1,8,12,46,73.5,41
68,6,7,L,1,8,12,47,73.5,44.6
118,16,21,N,1,8,12,48,99.9,67.1
31,22,19,C,1,1,13,1,94.3,72.2
87,16,21,N,1,1,13,2,97.6,74.8
47,23,13,K,1,1,13,3,106.5,139.5
153,24,1,Q,1,1,13,4,100.4,108.6
103,16,21,N,1,1,13,5,113.6,128.5
146,24,1,Q,1,1,13,6,102.7,78.9
160,17,15,R,1,2,13,7,98,65.7
56,6,7,L,1,2,13,8,106.1,145.3
filler,0,0,,1,2,13,9,,
filler,0,0,,1,2,13,10,,
37,0,0,JP,1,2,13,11,104.6,124.9
filler,0,0,,1,2,13,12,,
48,0,0,KP,1,3,13,13,92.8,53.4
39,23,13,K,1,3,13,14,128.7,166.2
55,6,7,L,1,3,13,15,114.5,99.3
96,16,21,N,1,3,13,16,104.6,101.7
151,24,1,Q,1,3,13,17,116.9,132
filler,0,0,,1,3,13,18,,
95,16,21,N,1,4,13,19,114.5,129.5
131,0,0,NP,1,4,13,20,121.6,179.5
39,23,13,K,1,4,13,21,117.4,126.1
filler,0,0,,1,4,13,22,,
